Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version Booster,Booster landing,Date,Time
111,KSC,Starlink,,,,,F9 B5 ♺,,14 March 2021,10:01
112,CCSFS,Starlink,,,,,F9 B5B1060.6643,,24 March 2021,08:28
113,CCSFS,Starlink,,,,,F9 B5 ♺,,7 April 2021,16:34
114,KSC,Crew-2,,,,,F9 B5B1061.2647,,23 April 2021,9:49
115,CCSFS,Starlink,,,,,F9 B5B1060.7652,,29 April 2021,03:44
116,KSC,Starlink,,,,,F9 B5B1049.9655,,4 May 2021,19:01
117,CCSFS,Starlink,,,,,F9 B5B1051.10657,,9 May 2021,06:42
118,KSC,Starlink,,,,,F9 B5B1058.8660,,15 May 2021,22:56
119,CCSFS,Starlink,,,,,F9 B5B1063.2665,,26 May 2021,18:59
120,KSC,SpaceX CRS-22,,,,,F9 B5B1067.1668,,3 June 2021,17:29
121,CCSFS,SXM-8,,,,,F9 B5,,6 June 2021,04:26
